ESTADOS,MUNICIPIOS,POBREZA ALIMENTARIA 2000,POBREZA ALIMENTARIA 2002,DIFERENCIA,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,ACCESO,POBLACION RURAL
Aguascalientes,San Francisco de los Romo,27.0,21.0,6.0,0.04226,0.06881,0.9119200000000001,0.72993,0.9693,0.23225,40.81818,47.18928
Aguascalientes,Asientos,31.0,28.000000000000004,2.9999999999999964,0.15606,0.0605,0.74683,0.5881,0.8265899999999999,0.08642000000000001,57.746669999999995,72.61076
Baja California,Tijuana,26.0,15.0,11.0,0.37351,0.10026,0.16685,0.38665,0.53881,0.19533,38.47887,1.16747
Baja California,Playas de Rosarito,27.0,17.0,10.0,0.36275,0.12685,0.23809,0.47801000000000005,0.53886,0.23656,81.04348,10.80574
Baja California Sur,Los Cabos,15.0,12.0,3.0,0.18175999999999998,0.10203999999999999,0.59565,0.55366,0.8056800000000001,0.32136,99.24786,14.97596
Baja California Sur,Muleg?,21.0,20.0,1.0,0.35717,0.1993,0.52778,0.34156,0.74441,0.05437,221.65573999999998,40.30746
Campeche,Carmen,47.0,37.0,10.0,0.32763000000000003,0.2232,0.28601,0.34831,0.60247,0.02665,187.54206000000002,16.53455
Campeche,Calakmul,56.99999999999999,55.00000000000001,1.9999999999999858,0.6544800000000001,0.20085,0.10365999999999999,0.07115,0.45621000000000006,0.00442,425.8913,100.0
Chiapas,Uni?n Juárez,61.0,52.0,9.0,0.36493000000000003,0.10778,0.79466,0.46453999999999995,0.64288,0.01085,79.6087,56.53796
Chiapas,Maravilla Tenejapa,64.0,72.0,-8.0,0.7952100000000001,0.13105,0.28395,0.014819999999999998,0.58534,0.0016,1145.0869599999999,100.0
Chihuahua,Santa Bárbara,31.0,23.0,8.0,0.16774,0.10457999999999999,0.45019,0.28131999999999996,0.75672,0.09417,71.65,14.262310000000001
Chihuahua,Ch?nipas,39.0,49.0,-10.0,0.8796700000000001,0.09235,0.45876999999999996,0.03141,0.31472,0.02043,1156.91549,100.0
Coahuila de Zaragoza,Sacramento,27.0,21.0,6.0,0.08566,0.051789999999999996,0.9561799999999999,0.42628999999999995,0.96016,0.11753,44.0,100.0
Coahuila de Zaragoza,Piedras Negras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colima,Comala,38.0,30.0,8.0,0.41508999999999996,0.08784,0.70344,0.59091,0.59386,0.09146,53.0,37.70636
Colima,Ixtlahuacán,35.0,31.0,4.0,0.46041000000000004,0.14144,0.76351,0.59291,0.81188,0.030369999999999998,273.0,100.0
Distrito Federal,Milpa Alta,33.0,18.0,15.0,0.22082,0.24095,0.36041,0.37269,0.94773,0.07805,12.23387,6.20111
Distrito Federal,Gustavo A. Madero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durango,Nombre de Dios,34.0,31.0,3.0,0.25669000000000003,0.07199,0.8381700000000001,0.41886999999999996,0.88739,0.030369999999999998,69.58824,74.94318
Durango,Otáez,44.0,54.0,-10.0,0.68892,0.04144,0.45826999999999996,0.13242,0.23019,0.00255,1024.3541699999998,100.0
Guanajuato,Celaya,36.0,25.0,11.0,0.17595999999999998,0.10637,0.71062,0.5616899999999999,0.88569,0.16687000000000002,25.558139999999998,15.070839999999999
Guanajuato,Xichú,49.0,46.0,3.0,0.7238399999999999,0.06,0.5108699999999999,0.09104,0.6691600000000001,0.014369999999999999,397.53846,100.0
Guerrero,Pungarabato,28.999999999999996,28.000000000000004,0.9999999999999929,0.32703000000000004,0.25198000000000004,0.42144,0.5360199999999999,0.91796,0.17612,36.94737,24.43005
Guerrero,Metlat?noc,56.99999999999999,67.0,-10.000000000000007,0.9900899999999999,0.65968,0.17770999999999998,0.0062,0.11905999999999999,0.00134,397.86667,100.0
Hidalgo,San Salvador,40.0,31.0,9.0,0.24518,0.08294,0.8980100000000001,0.47953,0.90759,0.06332,41.56098,90.11386999999999
Hidalgo,Xochiatipan,56.99999999999999,55.00000000000001,1.9999999999999858,0.6418699999999999,0.23974,0.28973000000000004,0.05087,0.8569100000000001,0.00114,230.97142999999997,100.0
Jalisco,Tuxcueca,31.0,20.0,11.0,0.23471999999999998,0.04768,0.6058100000000001,0.71441,0.90536,0.19768,42.15385,48.48584
Jalisco,Guadalajara,3.0,5.0,-2.0,0.0963,0.01852,0.38518,0.5111100000000001,0.64444,0.06296,38.66667,0.00826
Michoacán de Ocampo,Erongar?cuaro,46.0,31.0,15.0,0.26833,0.0436,0.76169,0.19742,0.9597399999999999,0.027039999999999998,53.13333000000001,80.44981
Michoacán de Ocampo,Aquila,54.0,50.0,4.0,0.86587,0.07767,0.37629,0.08139,0.21652,0.01962,382.34071,100.0
Morelos,Totolapan,36.0,20.0,16.0,0.42382,0.22548,0.15780999999999998,0.30344,0.71615,0.049280000000000004,20.76923,40.87165
Morelos,Jiutepec,19.0,10.0,9.0,0.35069,0.27687,0.35677,0.43798000000000004,0.83809,0.15031,12.95238,2.43568
México,Mexicaltzingo,30.0,23.0,7.0,0.11117,0.10151,0.57925,0.70316,0.9282,0.13147,6.25,19.28455
México,Chimalhuacán,7.000000000000001,10.0,-2.999999999999999,0.42355,0.46396000000000004,0.07218,0.19277,0.69701,0.038380000000000004,40.41667,1.08075
Nayarit,Santiago Ixcuintla,35.0,27.0,8.0,0.22896,0.13815999999999998,0.4896,0.46774,0.94924,0.06343,56.22973,51.230270000000004
Nayarit,Del Nayar,59.0,63.0,-4.0,0.91715,0.16589,0.18402000000000002,0.03373,0.27076,0.00131,704.43682,100.0
Nuevo León,General Zuazua,26.0,20.0,6.0,0.02667,0.29686,0.8996200000000001,0.34248,0.96667,0.036430000000000004,18.24,12.713410000000001
Nuevo León,Rayones,32.0,36.0,-4.0,0.65523,0.07727,0.5794100000000001,0.23886999999999997,0.54707,0.014490000000000001,712.10638,100.0
Oaxaca,Guelatao de Juárez,40.0,25.0,15.0,0.16279000000000002,0.03876,0.9302299999999999,0.7751899999999999,0.96899,0.14729,139.0,100.0
Oaxaca,San Sim?n Zahuatlán,68.0,72.0,-4.0,0.29955,0.04629,0.0,0.0225,0.8156800000000001,0.0,151.9,100.0
Puebla,Zapotitlán de M?ndez,59.0,46.0,13.0,0.5001899999999999,0.22121,0.5655600000000001,0.47063999999999995,0.8379700000000001,0.0097,46.0,100.0
Puebla,Tlaltenango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Querétaro de Arteaga,Pedro Escobedo,36.0,21.0,15.0,0.1632,0.15337,0.68085,0.44298999999999994,0.8496600000000001,0.11767000000000001,22.15385,36.73568
Querétaro de Arteaga,Pinal de Amoles,49.0,40.0,9.0,0.6200600000000001,0.08932000000000001,0.26643,0.1937,0.37459000000000003,0.0049,275.18675,100.0
Quintana Roo,Solidaridad,40.0,25.0,15.0,0.38619000000000003,0.54411,0.55337,0.41197,0.59906,0.13535999999999998,140.17021,21.02836
Quintana Roo,Cozumel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Luis Potosí,Cerro de San Pedro,37.0,28.000000000000004,8.999999999999996,0.11167,0.05107,0.7872899999999999,0.64799,0.88381,0.14423,67.1875,100.0
San Luis Potosí,Aquism?n,57.99999999999999,56.00000000000001,1.9999999999999858,0.81831,0.22832,0.27763000000000004,0.0764,0.34141,0.006520000000000001,168.96212,93.08821
Sinaloa,Escuinapa,31.0,31.0,0.0,0.41545,0.10122,0.47323999999999994,0.34217,0.68347,0.02309,84.25806,20.97823
Sinaloa,Badiraguato,39.0,46.0,-7.0,0.73924,0.09704,0.17281,0.20447,0.41439,0.01829,526.02949,90.75668
Sonora,Naco,26.0,20.0,6.0,0.01974,0.056620000000000004,0.9868399999999999,0.74202,0.9651200000000001,0.41228000000000004,94.0,8.82682
Sonora,Alamos,40.0,43.0,-3.0,0.6604399999999999,0.11613,0.45581000000000005,0.06717000000000001,0.54479,0.02324,297.92073,68.05821
Tabasco,Jalpa de M?ndez,46.0,37.0,9.0,0.22005,0.13962,0.35909,0.68702,0.8683799999999999,0.01987,53.84211,62.53164
Tabasco,Jonuta,50.0,46.0,4.0,0.51668,0.20759,0.48643000000000003,0.46321,0.66592,0.00683,189.26086999999998,78.39393000000001
Tamaulipas,Nuevo Laredo,32.0,23.0,9.0,0.16871,0.24620999999999998,0.18049,0.28192,0.59602,0.05975,54.22221999999999,0.67124
Tamaulipas,Ciudad Madero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tlaxcala,Calpulalpan,38.0,31.0,7.0,0.20592,0.16689,0.53709,0.56707,0.74119,0.05318,50.30435,26.14544
Tlaxcala,Tlaxcala,30.0,31.0,-1.0,0.66667,0.0,0.66667,0.66667,0.66667,0.0,73.0,0.023209999999999998
Veracruz-Llave,Oteapan,35.0,25.0,10.0,0.0,0.33333,0.66667,1.0,0.66667,0.0,18.0,0.18126
Veracruz-Llave,Uxpanapa,52.0,60.0,-8.0,0.7280300000000001,0.16382,0.29407,0.22079000000000001,0.39246,0.00249,926.3720900000001,100.0
Yucatán,Huh?,50.0,31.0,19.0,0.05127999999999999,0.17949,0.69231,0.15385,0.87179,0.0,29.0,2.76792
Yucatán,Telchac Puerto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zacatecas,Vetagrande,28.000000000000004,21.0,7.0000000000000036,0.09974,0.09876,0.7431300000000001,0.62493,0.9171299999999999,0.04463,64.88889,64.26397
Zacatecas,Jim?nez del Teul,42.0,41.0,1.0,0.57918,0.045,0.64315,0.0935,0.5122,0.00763,351.625,100.0
